TIC ID,Name,Classification,Confidence (%),SNR,Period Fit (days),Period Err (days),Period Known (days),Period Match,Depth Fit (%),Depth Err (%),Depth Known (%),Duration Fit (hr),Duration Err (hr),Detection Sigma
100100827,WASP-18 b,Planet Transit,98.8,12.9,0.94169,0.0,0.94,✓,0.9259,0.0059,1.0,1.92,0.0,430.8
35516889,WASP-19 b,Planet Transit,96.5,3.6,0.78873,0.0,0.79,✓,1.3805,0.0182,2.0,1.44,0.0,128.0
420814525,HD 209458 b,Planet Transit,98.9,7.0,3.52479,0.0,3.52,✓,1.4922,0.0055,1.5,2.4,0.0,544.2
86396382,WASP-12 b,Planet Transit,97.9,2.1,1.09172,0.0,1.09,✓,0.4839,0.009,1.4,2.4,0.0,83.6
36734222,WASP-43 b,Planet Transit,97.3,7.8,0.81351,0.0,0.81,✓,2.228,0.0201,2.5,0.96,0.0,186.9
424865156,HAT-P-7 b,Planet Transit,99.4,1.2,2.20506,0.0,2.2,✓,0.2243,0.004,0.7,3.6,0.0,66.4
399860444,TrES-2 b,Planet Transit,99.4,6.7,2.47099,0.0,2.47,✓,1.1425,0.0208,1.4,1.44,0.0,121.9
150428135,TOI-700 d,Planet Transit,98.0,2.8,14.23012,0.68894,37.4,✗,0.2069,0.0535,0.1,0.96,0.24,8.2
377780790,Kepler-10 b,Planet Transit,98.7,-0.3,17.89092,1.17735,0.84,✗,0.1522,0.037,0.015,0.48,0.24,5.1
261136679,Pi Mensae c,Planet Transit,94.6,1.5,6.26804,0.0,6.27,✓,0.0187,0.0006,0.03,2.4,0.0,28.2
