tic_id,file,class,confidence,snr,period,depth_pct
25355566,tess2018206045859-s0001-0000000025355566-0120-s_lc.fits,Planet Transit,96.9,4.02,23.05114,0.1686
29281750,tess2018206045859-s0001-0000000029281750-0120-s_lc.fits,Planet Transit,98.5,1.02,16.66348,0.0732
29494625,tess2018206045859-s0001-0000000029494625-0120-s_lc.fits,Planet Transit,96.3,6.51,19.14378,1.0139
29780451,tess2018206045859-s0001-0000000029780451-0120-s_lc.fits,Planet Transit,87.4,0.57,4.73372,0.0851
29832604,tess2018206045859-s0001-0000000029832604-0120-s_lc.fits,Planet Transit,39.0,0.49,10.78612,0.0983
31508244,tess2018206045859-s0001-0000000031508244-0120-s_lc.fits,Planet Transit,98.6,0.01,21.68045,0.0681
31746464,tess2018206045859-s0001-0000000031746464-0120-s_lc.fits,Other/Noise,60.6,0.71,7.42466,1.1194
32068795,tess2018206045859-s0001-0000000032068795-0120-s_lc.fits,Blend/FP,82.9,0.6,10.28175,0.2072
33840951,tess2018206045859-s0001-0000000033840951-0120-s_lc.fits,Other/Noise,42.2,0.53,6.36252,0.1163
38508010,tess2018206045859-s0001-0000000038508010-0120-s_lc.fits,Planet Transit,98.8,0.57,7.70355,0.0268
41232835,tess2018206045859-s0001-0000000041232835-0120-s_lc.fits,Eclipsing Binary,85.5,0.8,0.59791,12.9836
44627274,tess2018206045859-s0001-0000000044627274-0120-s_lc.fits,Planet Transit,46.0,1.93,16.52403,0.4247
52384478,tess2018206045859-s0001-0000000052384478-0120-s_lc.fits,Planet Transit,85.0,0.62,4.68625,0.0425
53842668,tess2018206045859-s0001-0000000053842668-0120-s_lc.fits,Other/Noise,57.9,0.82,9.33236,0.2408
55649929,tess2018206045859-s0001-0000000055649929-0120-s_lc.fits,Eclipsing Binary,40.4,0.31,7.83706,0.0222
55652221,tess2018206045859-s0001-0000000055652221-0120-s_lc.fits,Planet Transit,44.5,-0.06,19.0696,0.2759
63037874,tess2018206045859-s0001-0000000063037874-0120-s_lc.fits,Planet Transit,99.0,1.46,13.88353,0.3683
71273127,tess2018206045859-s0001-0000000071273127-0120-s_lc.fits,Planet Transit,97.9,0.47,5.21731,0.0193
71314259,tess2018206045859-s0001-0000000071314259-0120-s_lc.fits,Planet Transit,98.4,0.92,24.40403,0.0393
79052370,tess2018206045859-s0001-0000000079052370-0120-s_lc.fits,Planet Transit,83.2,2.48,12.68195,0.0842
79180181,tess2018206045859-s0001-0000000079180181-0120-s_lc.fits,Planet Transit,98.7,2.69,22.44886,0.1269
79513290,tess2018206045859-s0001-0000000079513290-0120-s_lc.fits,Planet Transit,81.6,0.21,8.73008,0.0649
92254719,tess2018206045859-s0001-0000000092254719-0120-s_lc.fits,Eclipsing Binary,78.5,5.23,17.85912,11.5852
92500085,tess2018206045859-s0001-0000000092500085-0120-s_lc.fits,Blend/FP,85.8,1.3,15.9811,0.349
92593931,tess2018206045859-s0001-0000000092593931-0120-s_lc.fits,Planet Transit,97.8,0.16,0.67208,0.016
92730897,tess2018206045859-s0001-0000000092730897-0120-s_lc.fits,Planet Transit,98.4,1.82,14.01703,0.037
121475429,tess2018206045859-s0001-0000000121475429-0120-s_lc.fits,Planet Transit,98.2,1.95,13.75595,0.125
126707070,tess2018206045859-s0001-0000000126707070-0120-s_lc.fits,Planet Transit,65.3,0.34,6.41593,0.0998
129646078,tess2018206045859-s0001-0000000129646078-0120-s_lc.fits,Planet Transit,92.3,0.03,0.55044,0.0131
139113397,tess2018206045859-s0001-0000000139113397-0120-s_lc.fits,Planet Transit,94.9,0.44,1.74015,0.0135
139187566,tess2018206045859-s0001-0000000139187566-0120-s_lc.fits,Other/Noise,64.6,0.94,9.0416,0.281
141028966,tess2018206045859-s0001-0000000141028966-0120-s_lc.fits,Planet Transit,98.2,1.19,13.24565,0.2081
141210949,tess2018206045859-s0001-0000000141210949-0120-s_lc.fits,Planet Transit,83.0,-0.04,20.76072,0.2932
141526547,tess2018206045859-s0001-0000000141526547-0120-s_lc.fits,Planet Transit,81.4,1.89,16.4469,0.0666
141769356,tess2018206045859-s0001-0000000141769356-0120-s_lc.fits,Other/Noise,55.3,-0.24,13.87759,1.6574
141770121,tess2018206045859-s0001-0000000141770121-0120-s_lc.fits,Other/Noise,42.3,0.92,10.79205,0.1667
141809220,tess2018206045859-s0001-0000000141809220-0120-s_lc.fits,Planet Transit,98.8,0.01,16.40536,0.0702
141811540,tess2018206045859-s0001-0000000141811540-0120-s_lc.fits,Planet Transit,98.5,1.56,22.51413,0.1641
141911201,tess2018206045859-s0001-0000000141911201-0120-s_lc.fits,Planet Transit,96.7,0.21,4.15814,0.0675
143854600,tess2018206045859-s0001-0000000143854600-0120-s_lc.fits,Planet Transit,59.0,0.09,0.61867,0.0118
147249160,tess2018206045859-s0001-0000000147249160-0120-s_lc.fits,Planet Transit,84.3,0.01,22.65358,0.0647
149174494,tess2018206045859-s0001-0000000149174494-0120-s_lc.fits,Planet Transit,63.0,0.5,2.50263,0.0199
149390565,tess2018206045859-s0001-0000000149390565-0120-s_lc.fits,Planet Transit,98.6,-0.27,23.77208,0.0858
149988104,tess2018206045859-s0001-0000000149988104-0120-s_lc.fits,Planet Transit,86.4,0.11,20.019,0.127
149989242,tess2018206045859-s0001-0000000149989242-0120-s_lc.fits,Planet Transit,62.8,0.28,0.64241,0.0722
150272277,tess2018206045859-s0001-0000000150272277-0120-s_lc.fits,Planet Transit,99.0,0.38,2.63021,0.028
150299115,tess2018206045859-s0001-0000000150299115-0120-s_lc.fits,Planet Transit,97.3,0.22,19.98043,0.1758
150299548,tess2018206045859-s0001-0000000150299548-0120-s_lc.fits,Planet Transit,71.3,0.12,0.52373,0.008
150361803,tess2018206045859-s0001-0000000150361803-0120-s_lc.fits,Planet Transit,96.0,-0.04,0.53857,0.0865
152184774,tess2018206045859-s0001-0000000152184774-0120-s_lc.fits,Eclipsing Binary,67.6,4.66,22.40436,10.9631
161170444,tess2018206045859-s0001-0000000161170444-0120-s_lc.fits,Planet Transit,97.8,0.06,0.5,0.0057
161207849,tess2018206045859-s0001-0000000161207849-0120-s_lc.fits,Eclipsing Binary,38.9,0.17,8.5313,0.0633
161379912,tess2018206045859-s0001-0000000161379912-0120-s_lc.fits,Planet Transit,99.0,0.2,6.32989,0.0485
161457906,tess2018206045859-s0001-0000000161457906-0120-s_lc.fits,Other/Noise,70.3,0.23,5.84926,0.0734
165123340,tess2018206045859-s0001-0000000165123340-0120-s_lc.fits,Eclipsing Binary,40.7,0.62,9.30862,0.0649
167307093,tess2018206045859-s0001-0000000167307093-0120-s_lc.fits,Other/Noise,90.2,0.36,1.71048,0.1738
167602738,tess2018206045859-s0001-0000000167602738-0120-s_lc.fits,Planet Transit,67.1,0.19,0.52967,0.0409
167793452,tess2018206045859-s0001-0000000167793452-0120-s_lc.fits,Planet Transit,98.7,1.86,24.09251,0.086
